ico_smluvni_strany;castka;nazev_smluvni_strany;predmet;publikovano;hodnota_raw
60077638;6619563,0;Dům dětí a mládeže, České Budějovice, U Zimního stadionu 1;"DDM ČB - Smlouva o poskytnutí NFV na realizaci projektu &quot;Výstavba srubu v Přední Výtoni&quot;";12.12.2025;6 619 563 CZK bez DPH
60077638;6619563,0;Dům dětí a mládeže, České Budějovice, U Zimního stadionu 1;"DDM ČB - Smlouva o poskytnutí dotace JčK na kofinancování projektu &quot;Výstavba srubu v Přední Výtoni&quot;";12.12.2025;6 619 563 CZK bez DPH
47916745;1144400,0;K-net Technical International Group, s.r.o.;Smlouva o dílo a smlouva o poskytování servisní podpory pro část C: EDR ochrana koncových stanic a serverů;12.12.2025;1 144 400 CZK bez DPH
66002222;;Ministerstvo pro místní rozvoj;Účastnická smlouva;11.12.2025;Neuvedeno
08841179;194000,0;Práce ze Dvora s.r.o.;instalace / implementace kabeláže ohl. propojení datových rozvaděčů;11.12.2025;194 000 CZK bez DPH
63078236;118800,0;Software602 a.s.;zajištění služby vzdáleného pečetění;11.12.2025;118 800 CZK bez DPH
63078236;198000,0;Software602 a.s.;zajištění služby vzdáleného podepisování;11.12.2025;198 000 CZK bez DPH
42409152;1882660,0;Dům dětí a mládeže, Jindřichův Hradec, Růžová 10;"DDM JH - Smlouva o poskytnutí dotace JčK na úhradu nezpůsobilých výdajů projektu &quot;Vybudování nové učebny zastřešením terasy DDM JH&quot;";11.12.2025;1 882 660 CZK bez DPH
42409152;2050000,0;Dům dětí a mládeže, Jindřichův Hradec, Růžová 10;"DDM JH - Smlouva o poskytnutí dotace JčK na kofinancování projektu &quot;Vybudování nové učebny zastřešením terasy DDM JH&quot;";11.12.2025;2 050 000 CZK bez DPH
42409152;2050000,0;Dům dětí a mládeže, Jindřichův Hradec, Růžová 10;"DDM JH - Smlouva o poskytnutí NFV z rozpočtu JčK na realizaci projektu &quot;Vybudování nové učebny zastřešením terasy DDM JH&quot;";11.12.2025;2 050 000 CZK bez DPH
26343673;338478,0;AUTOCENTRUM JAN ŠMUCLER s.r.o.;Kupní smlouva podle Rámcové dohody k veřejné zakázce s názvem „Centrální nákup osobních vozidel – kategorie 1B benzin manuál“ - nákup 1 ks vozidla.;11.12.2025;338 478 CZK bez DPH
09305394;83500,0;SK stavby - zámečnictví a.s.;Oprava vyhořelých rozvaděčů a nefunkčního panelu VZT , objekt MMR Salvátorská;10.12.2025;83 500 CZK bez DPH
27552233;198283,0;Hotel Start Jičín, s.r.o.;uskutečnění výjezdní porady MMR s kraji ke stavebnímu řádu;10.12.2025;198 283 CZK bez DPH
06313779;150000,0;Tomáš Pavelka, Tomáš Pavelka;Poradenské služby;10.12.2025;150 000 CZK bez DPH
73757870;493000,0;Mgr. Miroslav Koželuh;Zabezpečení kamenných plastik MMR Pařížská;10.12.2025;493 000 CZK bez DPH
60650745;6500000,0;Základní umělecká škola, Strakonice, Kochana z Prachové 263;"ZUŠ Strakonice - Smlouva o poskytnutí NFV z rozpočtu JčK na realizaci projektu &quot;Vybudování učeben pro zpracování hudby s využitím IT ve výuce a nahrávacího studia&quot;";10.12.2025;6 500 000 CZK bez DPH
60650745;6500000,0;Základní umělecká škola, Strakonice, Kochana z Prachové 263;"ZUŠ Strakonice - Smlouva o poskytnutí dotace JčK na kofinancování projektu „Vybudování učeben  pro zpracování hudby s využitím IT ve výuce a nahrávacího studia&quot;";10.12.2025;6 500 000 CZK bez DPH
48111198;21000,0;ACTIVA spol. s r.o.;Skartovací stroj 3 kusy obj. č. 709/2025;09.12.2025;21 000 CZK bez DPH
27655083;123670,0;ARISTOKRAT CATERING, s.r.o.;Strategická konference k cílům roku 2026;09.12.2025;123 670 CZK bez DPH
48111198;25275,0;ACTIVA spol. s r.o.;Objednávka drobného elektra - lampičky, rychlovarné konvice, kávovar;09.12.2025;25 275 CZK bez DPH
27373665;83600,0;OKsystem a.s.;služby a úpravy OKbase;09.12.2025;83 600 CZK bez DPH
03980481;255600,0;Mediaboard s.r.o.;monitoring medií;09.12.2025;255 600 CZK bez DPH
88850005;153400,0;Karel Sedlák;Obj. č. 696 - odborné zkoušky a inspekční prohlídky výtahů na MMR;09.12.2025;153 400 CZK bez DPH
21528772;10140000,0;A ADVERTISING COMMUNICATION, s.r.o.;Rámcová dohoda na zajištění kreativních řešení a výroby informačních kampaní  v oblasti fondů EU 2, část A – zajištění strategicko-kreativních služeb s důrazem na ATL komunikaci;08.12.2025;10 140 000 CZK bez DPH
26944022;29350000,0;Mitrenga-stavby, spol. s r.o.;Výstavba cyklistické stezky Židlochovice přes silnici II/425 (II);05.12.2025;29 350 000 CZK bez DPH
18630197;18882889,0;KONSIT a.s.;Smlouva - Denní stacionář;05.12.2025;18 882 889 CZK bez DPH
66002222;127500000,0;Ministerstvo pro místní rozvoj;Rozhodnutí a Podmínky o poskytnutí dotace - Revitalizace přestup. uzlu Náměstí republiky;04.12.2025;127 500 000 CZK bez DPH
45805369;8217,0;ŠkoFIN s.r.o.;Předmětem smlouvy je změna doby leasingu na základě smlouvy č. 1225069;03.12.2025;8 217 CZK bez DPH
45805369;8217,0;ŠkoFIN s.r.o.;Změna doby leasingu na základě nájemní smlouvy č. 1225068;03.12.2025;8 217 CZK bez DPH
45805369;8295,0;ŠkoFIN s.r.o.;Předmětem smlouvy je změna doby leasingu na základě smlouvy č. 1225067;03.12.2025;8 295 CZK bez DPH
66002222;;Ministerstvo pro místní rozvoj;Ostatní - Memorandum o spolupráci v rámci implementace Národní strategie veřejného zadávaní v České republice pro období let 2024 až 2028 - profesionalizace;03.12.2025;Neuvedeno
88149960;200000,0;Frederick Rooks;překlady odborných publikací EDICE MMR PRO OBCE, materiálů pro prezentaci výzkumné konference MMR a prezentaci agend CLLD a projektů 5G z českého jazyka do anglického jazyka.;03.12.2025;200 000 CZK bez DPH
17651921;200000,0;Digitální a informační agentura;překlady odborných publikací EDICE MMR PRO OBCE, materiálů pro prezentaci výzkumné konference MMR a prezentaci agend CLLD a projektů 5G z českého jazyka do anglického jazyka.;03.12.2025;200 000 CZK bez DPH
25911571;298000,0;IMPRESS Art Design s.r.o.;Propagační předměty k prezentaci soutěže Vesnice roku 2026;03.12.2025;298 000 CZK bez DPH
17651921;298000,0;Digitální a informační agentura;Propagační předměty k prezentaci soutěže Vesnice roku 2026;03.12.2025;298 000 CZK bez DPH
27166775;2301984,0;LOCKAR Automotive s.r.o.;Operativní leasing 3 elektromobilů na 48 měsíců.;03.12.2025;2 301 984 CZK bez DPH
60838744;;STRABAG a.s.;II/272 Benátky nad Jizerou, připojení na silnici III/27212 - ZBV 7-11;03.12.2025;-2 600 550 CZK bez DPH
27176100;92960,0;Attack Promotion s.r.o.;zajištění PR předmětů;02.12.2025;92 960 CZK bez DPH
60076658;180000,0;Jihočeská univerzita v Českých Budějovicích;Zajištění konference výzkum 2026, ČB;02.12.2025;180 000 CZK bez DPH
17651921;180000,0;Digitální a informační agentura;Zajištění konference výzkum 2026, ČB;02.12.2025;180 000 CZK bez DPH
61057606;3635908,0;Komwag, podnik čistoty a údržby města, a.s.;Služby spočívající v odvozu a likvidaci odpadu Odvoz a likvidace odpadu v objektech MMR (Staroměstské nám, Na Příkopě, Letenská, Velehradská, Vinohradská);02.12.2025;3 635 908 CZK bez DPH
11695404;52800,0;Business Video Production s.r.o.;Videoreportáže o projektech IROP - dílčí pokyn k plnění č. 7;02.12.2025;52 800 CZK bez DPH
88850005;317100,0;Karel Sedlák;Havarijní oprava motoru výtahu v objektu Na Příkopě 5, Praha 1;02.12.2025;317 100 CZK bez DPH
02832275;205985,0;Dvůr Pecínov s.r.o.;Zajištění výjezdního zasedání Odboru dodávek a kvality služeb AS, 3. – 4. prosince 2025;02.12.2025;205 985 CZK s DPH
09089195;150000,0;Naše kultivovaná města, z. s.;služby spojené s přípravou a tvorbou audiovizuálních děl (reels) z témat publikací EDICE MMR PRO OBCE se záměrem kultivace veřejného prostoru.;02.12.2025;150 000 CZK bez DPH
17651921;150000,0;Digitální a informační agentura;služby spojené s přípravou a tvorbou audiovizuálních děl (reels) z témat publikací EDICE MMR PRO OBCE se záměrem kultivace veřejného prostoru.;02.12.2025;150 000 CZK bez DPH
49240480;695272,0;UNIQA pojišťovna, a.s.;Dodatek č. 3 k Pojistné smlouvě č. 2024/0131 - o poj. majetku, odpovědnosti a škod v ubyt. DPČ;02.12.2025;695 272 CZK bez DPH
16188641;8658230,0;ALWIL Trade, spol. s r.o.;"Prováděcí smlouva č. 2025 - 037 k Rámcové dohodě na pořizování licencí produktů VMware 2023
 (AVISme 2025003070)";02.12.2025;8 658 230 CZK bez DPH
25342282;913248,0;Naviga Advisory and Evaluation s.r.o.;Dodatek č. 1  k objednávce 94/03/CES-6656/2025/56 na zajištění evaluace s názvem Návazné zadání na Zpětnou vazbu k JNR a analýza „red flags“ pro 2028+;01.12.2025;913 248 CZK s DPH
26137585;164560,0;IBRS - International Business and Research Services s.r.o.;Zajištění evaluace s názvem Vyhodnocení obsahové spolupráce s deníky;01.12.2025;164 560 CZK s DPH
65975707;1900000,0;Stanislav Pecháček;Fotografické služby pro IROP - rámcová dohoda;01.12.2025;1 900 000 CZK bez DPH
27034925;95000,0;Místní akční skupina Rožnovsko, z.s.;Zpracování případové studie Ex-post evaluace MAS Kelečsko;01.12.2025;95 000 CZK bez DPH
04739507;297000,0;PHOTOONE s.r.o.;Služba spojená s výrobou, produkcí a postprodukční činností, k zajištění                  10ti audiovizuálních děl (podcastů) v rámci činnosti výzkumu, inovace v regionální politice s následnou aplikací pro samosprávu;01.12.2025;297 000 CZK bez DPH
17651921;297000,0;Digitální a informační agentura;Služba spojená s výrobou, produkcí a postprodukční činností, k zajištění                  10ti audiovizuálních děl (podcastů) v rámci činnosti výzkumu, inovace v regionální politice s následnou aplikací pro samosprávu;01.12.2025;297 000 CZK bez DPH
25289462;145354,0;CSF, s.r.o.;Dodávka ICT vybavení.;28.11.2025;145 354 CZK bez DPH
24270890;115527,0;Aegidius s.r.o., Aegidius s.r.o.;Objednávka workshop NPO 4.1.3;28.11.2025;115 527 CZK bez DPH
25750178;60488,0;PROTECH PRODUCTION, s.r.o.;Putovní výstava IROP - dílčí objednávka č. 27;28.11.2025;60 488 CZK bez DPH
28241266;71875,0;TITIO s.r.o.;Programátorské práce;26.11.2025;71 875 CZK bez DPH
71294376;1080000,0;Projektová kancelář Kraje Vysočina, příspěvková organizace;Smlouva o poskytování služeb - zajištění provozu, správy a administrace informačního systému GINIS původních 6 regionálních rad (RR) mimo RR Severozápad;26.11.2025;1 080 000 CZK bez DPH
16188781;27474391,0;Com-Sys TRADE spol.s r.o.;Prodloužení technické podpory produktů společnosti Oracle u již vlastněných SW licencí a HW prvků pro Monitorovací systémy.;26.11.2025;27 474 391 CZK bez DPH
25187937;;RERA a.s.;Dodatek č. 1 ke Smlouvě o podmínkách realizace projektu (SoPR) - 019/PP3;26.11.2025;Neuvedeno
04095316;;Centrum pro regionální rozvoj České republiky;Dodatek č. 1 ke Smlouvě o podmínkách realizace projektu (SoPR) - 019/PP3;26.11.2025;Neuvedeno
04739507;297000,0;PHOTOONE s.r.o.;službu spojenou s výrobou, produkcí a postprodukční činností, k zajištění                  10ti audiovizuálních děl (podcastů) v rámci činnosti výzkumu, inovace v regionální politice s následnou aplikací pro samosprávu.;26.11.2025;297 000 CZK bez DPH
17651921;297000,0;Digitální a informační agentura;službu spojenou s výrobou, produkcí a postprodukční činností, k zajištění                  10ti audiovizuálních děl (podcastů) v rámci činnosti výzkumu, inovace v regionální politice s následnou aplikací pro samosprávu.;26.11.2025;297 000 CZK bez DPH
66002222;;Ministerstvo pro místní rozvoj - odbor správy programů, Kristina Princová;Veřejnoprávní smlouva o výkonu některých úkolů poskytovatele dotace subjektem realizace v rámci realizace národních dotačních programů;25.11.2025;Neuvedeno
;;Centrum pro regionální rozvoj, Petr Štěpánek;Veřejnoprávní smlouva o výkonu některých úkolů poskytovatele dotace subjektem realizace v rámci realizace národních dotačních programů;25.11.2025;Neuvedeno
25719751;199750,0;Mark2 Corporation Czech a.s.;Obj. č. 670/2025 - Stavební úpravy místnosti č. 140 na MMR;25.11.2025;199 750 CZK bez DPH
26548526;141101,0;POST BELLUM, z. ú.;Smlouva o podmínkách realizace projektu (SoPR) - 260/PP2;25.11.2025;141 101 EUR
04095316;141101,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 260/PP2;25.11.2025;141 101 EUR
28340132;81176,0;Equifarm, s.r.o.;Občerstvení a nápoje na Výroční konferenci IROP;25.11.2025;81 176 CZK bez DPH
60816929;25320000,0;Gymnázium, Dačice, Boženy Němcové 213;"Gymnázium Dačice - Smlouva o poskytnutí dotace Jčk na úhradu nezpůsobilých výdajů projektu &quot;Přístavba budovy Gymnázia Dačice&quot;";25.11.2025;25 320 000 CZK bez DPH
40229645;419680,0;HAiDA s.r.o.;Zajištění správy a administrace IS GINIS provozovaného na cloudovém úložišti společnosti HAiDA s.r.o. (Regionální rada Severozápad);24.11.2025;419 680 CZK bez DPH
03665496;405000,0;ALTEPRO solutions a.s.;Objednávka - dodávka licencí a podpora eSight;21.11.2025;405 000 CZK bez DPH
45770743;100000,0;Česká komora autorizovaných inženýrů a techniků činných ve výstavbě;Prezentace a propagace aktivit Ministerstva pro místní rozvoj v rámci podpory 21. ročníku soutěže Cena Inženýrské komory 2024;21.11.2025;100 000 CZK bez DPH
09089195;98000,0;Naše kultivovaná města, z. s.;organizačně-technické zajištění prezentaci nově vydaných publikací z EDICE MMR PRO dne 24.- 25.11. 2025;21.11.2025;98 000 CZK bez DPH
17651921;98000,0;Digitální a informační agentura;organizačně-technické zajištění prezentaci nově vydaných publikací z EDICE MMR PRO dne 24.- 25.11. 2025;21.11.2025;98 000 CZK bez DPH
09089195;98000,0;Naše kultivovaná města, z. s.;organizačně-technické zajištění prezentaci nově vydaných publikací z EDICE MMR PRO dne 24.- 25.11. 2025;21.11.2025;98 000 CZK bez DPH
17651921;98000,0;Digitální a informační agentura;organizačně-technické zajištění prezentaci nově vydaných publikací z EDICE MMR PRO dne 24.- 25.11. 2025;21.11.2025;98 000 CZK bez DPH
09089195;98000,0;Naše kultivovaná města, z. s.;organizačně-technické zajištění prezentaci nově vydaných publikací z EDICE MMR PRO dne 24.- 25.11. 2025;21.11.2025;98 000 CZK bez DPH
17651921;98000,0;Digitální a informační agentura;organizačně-technické zajištění prezentaci nově vydaných publikací z EDICE MMR PRO dne 24.- 25.11. 2025;21.11.2025;98 000 CZK bez DPH
60077344;118422,0;Biologické centrum AV ČR, v. v. i.;Smlouva o podmínkách realizace projektu (SoPR) - 239/PP3;20.11.2025;118 422 EUR
04095316;118422,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 239/PP3;20.11.2025;118 422 EUR
45769371;200000,0;ČESKÁ KOMORA ARCHITEKTŮ;Zajištění plnění opatření PASK;20.11.2025;200 000 CZK bez DPH
27885348;62000,0;Agora CE o.p.s.;Moderace a facilitace celodenní konference;19.11.2025;62 000 CZK bez DPH
43690823;498500,0;Martin Kříž;Havarijní oprava parapetů, těsnění oken, meziokenních vložek a okapu v budově MMR.;19.11.2025;498 500 CZK bez DPH
24270890;80705,0;Aegidius s.r.o.;uskutečnění zasedání PS k prezentaci návrhu Analytické části Územní studie Pražského metropolitního plánu;14.11.2025;80 705 CZK bez DPH
46161988;300000,0;Barbora Augustová;objednáváme grafické zpracování publikací, aktualizace a přípravu cizojazyčných verzí z edice MMR PRO OBCE a pro účely medializace činností odboru regionální politiky;14.11.2025;300 000 CZK bez DPH
17651921;300000,0;Digitální a informační agentura;objednáváme grafické zpracování publikací, aktualizace a přípravu cizojazyčných verzí z edice MMR PRO OBCE a pro účely medializace činností odboru regionální politiky;14.11.2025;300 000 CZK bez DPH
75081431;122900,0;Vysoká škola technická a ekonomická v Českých Budějovicích;Smlouva o podmínkách realizace projektu (SoPR) - 244/PP2;13.11.2025;122 900 EUR
04095316;122900,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 244/PP2;13.11.2025;122 900 EUR
00250805;;Město Vimperk;Dodatek č. 1 ke Smlouvě o podmínkách realizace projektu (SoPR) - 019/PP2;13.11.2025;Neuvedeno
04095316;;Centrum pro regionální rozvoj České republiky;Dodatek č. 1 ke Smlouvě o podmínkách realizace projektu (SoPR) - 019/PP2;13.11.2025;Neuvedeno
27655083;124641,0;ARISTOKRAT CATERING, s.r.o.;Občerstvení pro projekt financovaný z NPO Národní plán obnovy Faktura za občerstvení bude hrazena z projektu Metodická podpora a modernizace veřejných nákupů;13.11.2025;124 641 CZK bez DPH
07081561;51800,0;SEVITECH CZ s.r.o.;stěhování HW a IT komponent;13.11.2025;51 800 CZK bez DPH
40767141;268000,0;AND, spol. s r.o.;Realizace drenáží a odvodnění Barrandov - PD;12.11.2025;268 000 CZK bez DPH
04084063;529375,0;CETIN a.s.;Pronájem části stožáru a technologického prostoru;12.11.2025;529 375 CZK s DPH
07081561;73911243,0;SEVITECH CZ s.r.o.;Dodatek č. 1 ke smlouvě o údržbě, podpoře a rozvoji národního geoportálu územního plánování;12.11.2025;73 911 243 CZK bez DPH
31605052;73911243,0;SYNCHRONIX, a.s;Dodatek č. 1 ke smlouvě o údržbě, podpoře a rozvoji národního geoportálu územního plánování;12.11.2025;73 911 243 CZK bez DPH
25696815;492419,0;Computer Technology v.o.s.;Objednávka spotřebního materiálu do velkoprodukčních kopírek;12.11.2025;492 419 CZK bez DPH
64949681;6251,0;T-Mobile Czech Republic a.s.;Prováděcí smlouva č. 2025 - 115 k Rámcové dohodě na pořizování produktů Microsoft (AVISme 2025002902);12.11.2025;6 251 CZK bez DPH
66002222;1594442,0;Ministerstvo pro místní rozvoj;Objednávka MMR-eTurista-OBJ02_Cloudové služby;11.11.2025;1 594 442 CZK bez DPH
07030894;556600,0;Evergreen Advisory, s.r.o.;Konzultační a poradenská služba pro oblast finančních nástrojů ve fondech EU, v souvislosti s plněním úkolů dle UV č. 490/2025;11.11.2025;556 600 CZK s DPH
26910560;1086300,0;A-WebSys, spol. s r.o.;Rozvoj a podpora ISPZ;10.11.2025;1 086 300 CZK bez DPH
28123395;485009,0;Artspect, a.s.;Kancelářský nábytek, dílčí obj. č.13;07.11.2025;485 009 CZK bez DPH
27655083;241384,0;ARISTOKRAT CATERING, s.r.o.;Catering na 11. konferenci Evaluační jednotky NOK;07.11.2025;241 384 CZK s DPH
07877552;180827,0;Nadace Automatické mlýny;uskutečnění výjezdní porady MMR s krajskými úřady územního plánování, MHMP a ÚÚR;07.11.2025;180 827 CZK bez DPH
41694538;78965,0;A L K O M - I P C spol. s r.o.;uskutečnění výjezdní porady státní tajemnice MMR a ředitelů odborů;06.11.2025;78 965 CZK bez DPH
71557989;97500,0;RNDr. Marie Feřtrová, Ph.D.;Expertní poradenství pro realizaci plnění VZ Hodnocení rozmístění vybraných investic IROP zahrnující koučink a mentoring.;06.11.2025;97 500 CZK bez DPH
04620852;500000,0;Analytics Data Factory s.r.o.;Dodatek k objednávce 440/2025-64 na odborné služby IT architekta k zajištění návrhu datových center pro kritickou infastrukturu a příprava migračního plánu.;05.11.2025;500 000 CZK bez DPH
45359041;14510358,0;STRABAG Silnice a.s.;Smlouva o dílo - Rekonstrukce inženýrských sítí, uličního prostoru a sadové úpra;05.11.2025;14 510 358 CZK bez DPH
41152832;11128,0;Clingendael Institute;zajištění třídenního prezenčního workshopu  Negotiations within the European Union for the Czech National Coordination Authority;04.11.2025;11 128 EUR
25842811;28492917,0;ABAS IPS Management s.r.o.;Dodatek č. 16 Smlouvy o zajištění bezpečnostních služeb;04.11.2025;28 492 917 CZK bez DPH
66002222;445536,0;Ministerstvo pro místní rozvoj;Poskytnutí dotace ze SR Odstraňování překážek přeshraniční spolupráce;03.11.2025;445 536 CZK s DPH
01572377;490000,0;Seyfor, a. s.;podpora produktů Microsoft 365 včetně Intune a MDM.;03.11.2025;490 000 CZK bez DPH
11695404;52800,0;Business Video Production s.r.o.;Videoreportáže o projektech IROP - dílčí pokyn k plnění č. 6;03.11.2025;52 800 CZK bez DPH
44947909;27530871,0;Nemocnice Tišnov, příspěvková organizace;Smlouva o úvěru;03.11.2025;27 530 871 CZK s DPH
05099994;827960,0;exe, a.s., odštěpný závod;Prováděcí smlouva č. 2025 - 114 k Rámcové dohodě na pořizování produktů Microsoft (AVISme 2025002803);03.11.2025;827 960 CZK bez DPH
70891168;17463,0;Karlovarský kraj;Smlouva o podmínkách realizace projektu (SoPR) - 245/PP2;31.10.2025;17 463 EUR
04095316;17463,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 245/PP2;31.10.2025;17 463 EUR
70994226;50600,0;České dráhy, a.s.;Pronájem vlaku na MV;31.10.2025;50 600 CZK bez DPH
12584878;159118,0;Aleš Sebastianides;Výměna koberců dle OBJ č. 16/2025/CES6355;31.10.2025;159 118 CZK bez DPH
62913972;320727,0;RELIMEX spol. s r .o.;Předmětem dohody je kompenzace za uskladnění dokumentů nad rámec smlouvy CES č. 6125;31.10.2025;320 727 CZK bez DPH
12584878;112639,0;Aleš Sebastianides;Výměna koberců dle OBJ č. 15/2025/CES6355;31.10.2025;112 639 CZK bez DPH
66002222;15550270,0;Ministerstvo pro místní rozvoj;Změnové Rozhodnutí a Podmínky o poskytnutí dotace (č.2)- Inteligentní zastávky - II.etapa;30.10.2025;15 550 270 CZK bez DPH
27451925;448000,0;Cetag, s.r.o.;znalecký posudek na dílčí plnění ze smlouvy;30.10.2025;448 000 CZK bez DPH
27156052;242564,0;Moudrý překlad, s.r.o.;Výjezdní zasedání ŘO IROP;30.10.2025;242 564 CZK bez DPH
26343673;184133384,0;AUTOCENTRUM JAN ŠMUCLER s.r.o.;Rámcová dohoda na dodávky osobních automobilů - kategorie 1B benzin manuál  (AVISme 2025002768);30.10.2025;184 133 384 CZK bez DPH
26284146;;OR-NEXT spol. s r.o., Ing. Petr Moravec;Dohoda o ukončení smlouvy CES 6691;27.10.2025;Neuvedeno
26284146;;OR-NEXT spol. s r.o., Ing. Petr Moravec;Dohoda o ukončení smlouvy CES 6991;27.10.2025;Neuvedeno
